日	1.4374
一	2.6553
十	3.7426
二	4.6956
人	5.6311
大	6.5653
年	7.4920
会	8.4105
国	9.2627
三	10.0039
本	10.7307
長	11.3332
中	11.9242
五	12.4760
出	13.0235
事	13.5240
社	14.0222
市	14.5182
者	15.0085
月	15.4966
四	15.9808
九	16.4645
同	16.9255
自	17.3851
政	17.8307
時	18.2724
業	18.7128
分	19.1365
上	19.5571
前	19.9710
生	20.3800
合	20.7879
行	21.1953
部	21.6013
地	22.0042
後	22.3803
議	22.7541
党	23.1263
八	23.4972
民	23.8648
六	24.2318
見	24.5982
間	24.9610
新	25.3202
員	25.6784
入	26.0299
場	26.3787
円	26.7244
学	27.0697
東	27.4104
発	27.7502
方	28.0878
高	28.4166
内	28.7453
百	29.0717
金	29.3958
七	29.7194
定	30.0309
子	30.3415
的	30.6512
対	30.9606
手	31.2667
立	31.5720
田	31.8723
回	32.1674
選	32.4531
今	32.7379
連	33.0159
県	33.2912
代	33.5661
開	33.8401
約	34.1055
力	34.3683
関	34.6263
体	34.8761
明	35.1251
山	35.3741
動	35.6201
万	35.8646
通	36.1087
目	36.3507
千	36.5923
全	36.8319
京	37.0700
実	37.3076
問	37.5424
決	37.7760
相	38.0093
米	38.2424
当	38.4735
度	38.7043
下	38.9352
主	39.1650
理	39.3904
表	39.6131
化	39.8355
調	40.0574
所	40.2766
小	40.4950
不	40.7119
取	40.9275
用	41.1430
治	41.3581
現	41.5711
法	41.7835
気	41.9940
経	42.2045
公	42.4126
話	42.6183
最	42.8205
野	43.0217
川	43.2217
家	43.4214
務	43.6195
制	43.8172
外	44.0146
区	44.2091
作	44.4032
性	44.5968
期	44.7903
設	44.9810
戦	45.1703
名	45.3590
来	45.5448
要	45.7306
意	45.9159
機	46.0998
言	46.2809
産	46.4610
成	46.6395
氏	46.8167
数	46.9933
権	47.1655
教	47.3343
題	47.5028
道	47.6711
保	47.8377
受	48.0033
勝	48.1684
総	48.3335
原	48.4976
思	48.6611
以	48.8224
強	48.9830
平	49.1434
協	49.3033
組	49.4627
島	49.6210
都	49.7789
多	49.9367
持	50.0938
支	50.2508
和	50.4077
加	50.5608
海	50.7132
続	50.8652
正	51.0167
安	51.1670
進	51.3165
売	51.4653
書	51.6142
水	51.7627
知	51.9100
工	52.0573
近	52.2044
指	52.3512
電	52.4972
心	52.6426
改	52.7880
物	52.9327
点	53.0772
北	53.2214
元	53.3645
文	53.5074
午	53.6493
記	53.7906
初	53.9308
報	54.0707
車	54.2103
府	54.3499
資	54.4892
首	54.6285
町	54.7670
世	54.9054
女	55.0430
挙	55.1797
院	55.3148
委	55.4495
査	55.5841
界	55.7176
団	55.8504
校	55.9812
予	56.1120
第	56.2428
画	56.3734
計	56.5040
判	56.6341
先	56.7641
西	56.8940
重	57.0231
向	57.1490
結	57.2745
岡	57.3998
込	57.5243
共	57.6486
品	57.7722
信	57.8955
局	58.0179
集	58.1403
活	58.2614
建	58.3824
引	58.5031
交	58.6230
反	58.7429
告	58.8626
利	58.9823
億	59.1016
済	59.2193
次	59.3369
件	59.4542
村	59.5710
考	59.6879
投	59.8045
減	59.9207
面	60.0365
派	60.1523
任	60.2681
解	60.3838
運	60.4992
際	60.6132
側	60.7272
広	60.8399
税	60.9524
省	61.0646
使	61.1756
増	61.2866
認	61.3971
付	61.5072
官	61.6173
求	61.7273
半	61.8369
別	61.9459
阪	62.0547
企	62.1631
朝	62.2713
策	62.3793
直	62.4873
男	62.5953
統	62.7033
職	62.8112
切	62.9189
福	63.0257
変	63.1322
店	63.2384
案	63.3442
屋	63.4494
得	63.5545
住	63.6596
木	63.7644
台	63.8686
始	63.9727
価	64.0763
無	64.1797
打	64.2828
昨	64.3854
在	64.4877
感	64.5894
費	64.6906
口	64.7907
聞	64.8906
情	64.9901
歳	65.0893
料	65.1883
藤	65.2873
論	65.3856
役	65.4832
示	65.5805
各	65.6773
営	65.7730
空	65.8686
参	65.9636
革	66.0585
州	66.1529
基	66.2472
流	66.3414
領	66.4354
死	66.5288
井	66.6221
容	66.7152
疑	66.8076
検	66.8996
古	66.9915
私	67.0833
